timestamp,person_id,dwell_sec,zone_id,camera_id,source_video
3/20/2026 10:37,427,1.6,Charms + Screen,coach4,Coach-4-hour-1-20260320095957.mp4
3/20/2026 10:53,433,0.1,Charms + Screen,coach4,Coach-4-hour-1-20260320095957.mp4
3/20/2026 10:38,445,0.5,Charms + Screen,coach4,Coach-4-hour-1-20260320095957.mp4
3/20/2026 10:46,447,0.1,Charms + Screen,coach4,Coach-4-hour-1-20260320095957.mp4
3/20/2026 10:40,496,0.4,Charms + Screen,coach4,Coach-4-hour-1-20260320095957.mp4
3/20/2026 10:51,497,196.79,Charms + Screen,coach4,Coach-4-hour-1-20260320095957.mp4
3/20/2026 10:54,513,4.1,Charms + Screen,coach4,Coach-4-hour-1-20260320095957.mp4
3/20/2026 10:55,556,209.78,Charms + Screen,coach4,Coach-4-hour-1-20260320095957.mp4
3/20/2026 10:49,620,2.4,Charms + Screen,coach4,Coach-4-hour-1-20260320095957.mp4
3/20/2026 10:53,655,3.3,Charms + Screen,coach4,Coach-4-hour-1-20260320095957.mp4
3/20/2026 10:52,656,2.5,Charms + Screen,coach4,Coach-4-hour-1-20260320095957.mp4
3/20/2026 10:51,664,1.2,Charms + Screen,coach4,Coach-4-hour-1-20260320095957.mp4
3/20/2026 10:53,684,14.49,Charms + Screen,coach4,Coach-4-hour-1-20260320095957.mp4
3/20/2026 10:58,694,73.46,Charms + Screen,coach4,Coach-4-hour-1-20260320095957.mp4
3/20/2026 10:53,723,17.29,Charms + Screen,coach4,Coach-4-hour-1-20260320095957.mp4
3/20/2026 10:53,724,7.8,Charms + Screen,coach4,Coach-4-hour-1-20260320095957.mp4
3/20/2026 10:53,726,3.4,Charms + Screen,coach4,Coach-4-hour-1-20260320095957.mp4
3/20/2026 10:53,730,12.29,Charms + Screen,coach4,Coach-4-hour-1-20260320095957.mp4
3/20/2026 10:53,736,5.8,Charms + Screen,coach4,Coach-4-hour-1-20260320095957.mp4
3/20/2026 10:54,745,5.1,Charms + Screen,coach4,Coach-4-hour-1-20260320095957.mp4
3/20/2026 10:54,750,1.9,Charms + Screen,coach4,Coach-4-hour-1-20260320095957.mp4
3/20/2026 10:54,757,0.2,Charms + Screen,coach4,Coach-4-hour-1-20260320095957.mp4
3/20/2026 10:54,759,3.8,Charms + Screen,coach4,Coach-4-hour-1-20260320095957.mp4
3/20/2026 10:54,760,2.6,Charms + Screen,coach4,Coach-4-hour-1-20260320095957.mp4
3/20/2026 10:54,762,8.2,Charms + Screen,coach4,Coach-4-hour-1-20260320095957.mp4
3/20/2026 10:54,768,26.78,Charms + Screen,coach4,Coach-4-hour-1-20260320095957.mp4
3/20/2026 10:55,788,3.1,Charms + Screen,coach4,Coach-4-hour-1-20260320095957.mp4
3/20/2026 10:59,792,0.9,Charms + Screen,coach4,Coach-4-hour-1-20260320095957.mp4
3/20/2026 10:58,800,0.4,Charms + Screen,coach4,Coach-4-hour-1-20260320095957.mp4
3/20/2026 10:56,816,4.1,Charms + Screen,coach4,Coach-4-hour-1-20260320095957.mp4
3/20/2026 10:59,864,45.97,Charms + Screen,coach4,Coach-4-hour-1-20260320095957.mp4
3/20/2026 10:59,866,1.4,Charms + Screen,coach4,Coach-4-hour-1-20260320095957.mp4
3/20/2026 10:59,867,7.6,Charms + Screen,coach4,Coach-4-hour-1-20260320095957.mp4
3/20/2026 10:59,873,22.59,Charms + Screen,coach4,Coach-4-hour-1-20260320095957.mp4
3/20/2026 10:59,874,0.4,Charms + Screen,coach4,Coach-4-hour-1-20260320095957.mp4
3/20/2026 11:22,1,0.7,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:50,2,1.0,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:00,3,0.2,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:56,4,2.9,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:00,5,1.5,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:44,8,11.19,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:44,10,0.1,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:38,11,478.32,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:00,12,2.3,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
